##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
1814.687, 9.4185136E-03
1816.616, 9.6563185E-03
1818.544, 9.3304813E-03
1820.473, 9.1142692E-03
1822.401, 8.9868028E-03
1824.329, 8.6846948E-03
1826.258, 9.1799619E-03
1828.186, 9.3438523E-03
1830.115, 8.6769853E-03
1832.043, 9.0131098E-03
1833.972, 9.2336144E-03
1835.900, 8.8682016E-03
1837.829, 8.8962978E-03
1839.757, 8.8497261E-03
1841.686, 8.6988397E-03
1843.614, 8.5745081E-03
1845.543, 8.5468264E-03
1847.471, 8.7626148E-03
1849.400, 8.6273057E-03
1851.328, 8.7488489E-03
1853.256, 9.1721890E-03
1855.185, 9.5862774E-03
1857.113, 9.5386449E-03
1859.042, 8.6214822E-03
1860.970, 8.6092362E-03
1862.899, 9.5185824E-03
1864.827, 9.4414111E-03
1866.756, 8.6613810E-03
1868.684, 8.6481748E-03
1870.613, 9.1929547E-03
1872.541, 9.4890660E-03
1874.470, 9.7426223E-03
1876.398, 9.5959865E-03
1878.327, 9.8977843E-03
1880.255, 1.0238390E-02
1882.183, 1.0249900E-02
1884.112, 9.4871316E-03
1886.040, 8.1023648E-03
1887.969, 7.7628661E-03
1889.897, 8.5640913E-03
1891.826, 9.6755195E-03
1893.754, 1.0249440E-02
1895.683, 9.1800336E-03
1897.611, 8.5658832E-03
1899.540, 9.1167400E-03
1901.468, 9.3819955E-03
1903.397, 8.8131586E-03
1905.325, 8.3163735E-03
1907.254, 8.3024492E-03
1909.182, 8.5044065E-03
