##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
1.471420e+003, -6.044877e-004
1.473349e+003, -4.053333e-004
1.475277e+003, -4.427530e-004
1.477205e+003, -4.123218e-004
1.479134e+003, -4.631649e-004
1.481062e+003, -4.676484e-004
1.482991e+003, -3.265870e-004
1.484919e+003, -3.346379e-004
1.486848e+003, -3.227191e-004
1.488776e+003, -3.279263e-004
1.490705e+003, -3.182347e-004
1.492633e+003, -3.467796e-004
1.494562e+003, -2.590775e-004
1.496490e+003, -1.393594e-004
1.498419e+003, -2.002490e-004
1.500347e+003, -3.218646e-004
1.502276e+003, -3.723343e-004
1.504204e+003, -1.593376e-004
1.506132e+003, 2.076646e-004
1.508061e+003, 1.564450e-004
1.509989e+003, -1.168994e-004
1.511918e+003, -3.375051e-004
1.513846e+003, -3.320273e-004
1.515775e+003, -1.629142e-004
1.517703e+003, -2.126492e-004
1.519632e+003, -9.669156e-005
1.521560e+003, 1.060068e-004
1.523489e+003, -1.215291e-004
1.525417e+003, -2.179021e-004
1.527346e+003, -1.586883e-004
1.529274e+003, -2.275881e-004
1.531203e+003, -3.156711e-004
1.533131e+003, -2.597653e-004
1.535059e+003, -3.933446e-004
1.536988e+003, -3.280345e-004
1.538916e+003, 1.016838e-004
1.540845e+003, 2.187459e-004
1.542773e+003, -8.916048e-005
1.544702e+003, -2.784053e-004
1.546630e+003, -3.284966e-004
1.548559e+003, -3.687083e-004
1.550487e+003, -5.312070e-004
1.552416e+003, -6.270083e-004
1.554344e+003, -5.870442e-004
1.556273e+003, -3.015211e-004
1.558201e+003, 1.733562e-004
1.560130e+003, -8.317326e-006
1.562058e+003, -5.142317e-004
1.563986e+003, -6.104610e-004
1.565915e+003, -6.446599e-004
1.567843e+003, -5.828700e-004
1.569772e+003, -4.692568e-004
1.571700e+003, -6.195515e-004
1.573629e+003, -4.481268e-004
1.575557e+003, -7.540704e-005
1.577486e+003, -1.706234e-004
1.579414e+003, -4.445790e-004
1.581343e+003, -6.349750e-004
1.583271e+003, -7.941328e-004
1.585200e+003, -7.340412e-004
1.587128e+003, -6.491554e-004
1.589057e+003, -7.437369e-004
1.590985e+003, -7.781950e-004
1.592913e+003, -7.744585e-004
1.594842e+003, -6.030443e-004
1.596770e+003, -4.618902e-004
1.598699e+003, -6.307788e-004
1.600627e+003, -7.442480e-004
1.602556e+003, -5.421291e-004
1.604484e+003, -5.064581e-004
1.606413e+003, -5.823380e-004
1.608341e+003, -5.919960e-004
1.610270e+003, -6.686819e-004
1.612198e+003, -6.058252e-004
1.614127e+003, -2.735198e-004
1.616055e+003, 2.536443e-005
1.617984e+003, -1.982561e-004
1.619912e+003, -4.575272e-004
1.621840e+003, -3.922422e-004
1.623769e+003, -3.141029e-004
1.625697e+003, -3.537403e-004
1.627626e+003, -4.258582e-004
1.629554e+003, -4.513611e-004
1.631483e+003, -4.587709e-004
1.633411e+003, -2.853630e-004
1.635340e+003, -1.386735e-005
1.637268e+003, -2.425746e-004
1.639197e+003, -4.096506e-004
1.641125e+003, -3.134008e-004
1.643054e+003, -3.499127e-004
1.644982e+003, -1.235083e-004
1.646911e+003, -1.553388e-006
1.648839e+003, -2.309929e-004
1.650767e+003, 8.694541e-006
1.652696e+003, 4.911912e-004
1.654624e+003, -1.488771e-005
1.656553e+003, -4.065474e-004
1.658481e+003, -2.968558e-004
1.660410e+003, -2.522859e-004
1.662338e+003, -3.230151e-004
1.664267e+003, -4.537526e-004
1.666195e+003, -4.944603e-004
1.668124e+003, -3.685476e-004
1.670052e+003, -3.090344e-004
1.671981e+003, -3.099620e-004
1.673909e+003, -1.595793e-004
1.675838e+003, -1.924783e-004
1.677766e+003, -4.008783e-004
1.679694e+003, -3.531282e-004
1.681623e+003, -2.298438e-004
1.683551e+003, 2.706552e-004
1.685480e+003, 2.889930e-004
