##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
1.706693e+003, 7.645847e-003
1.708621e+003, 7.588081e-003
1.710550e+003, 7.421736e-003
1.712478e+003, 7.166920e-003
1.714407e+003, 7.377540e-003
1.716335e+003, 7.234224e-003
1.718264e+003, 7.146929e-003
1.720192e+003, 7.577338e-003
1.722121e+003, 7.808193e-003
1.724049e+003, 7.267315e-003
1.725978e+003, 7.247552e-003
1.727906e+003, 7.784902e-003
1.729835e+003, 8.116185e-003
1.731763e+003, 7.820717e-003
1.733692e+003, 7.650612e-003
1.735620e+003, 7.564723e-003
1.737548e+003, 7.472472e-003
1.739477e+003, 7.181978e-003
1.741405e+003, 7.548735e-003
1.743334e+003, 7.803984e-003
1.745262e+003, 7.519254e-003
1.747191e+003, 7.278703e-003
1.749119e+003, 7.283519e-003
1.751048e+003, 7.589244e-003
1.752976e+003, 7.846209e-003
1.754905e+003, 7.243327e-003
1.756833e+003, 6.899238e-003
1.758762e+003, 7.043544e-003
1.760690e+003, 6.571669e-003
1.762619e+003, 6.219502e-003
1.764547e+003, 6.442188e-003
1.766475e+003, 7.058250e-003
1.768404e+003, 7.179978e-003
1.770332e+003, 6.964740e-003
1.772261e+003, 6.857437e-003
1.774189e+003, 6.848588e-003
1.776118e+003, 6.553040e-003
1.778046e+003, 6.227375e-003
1.779975e+003, 6.606351e-003
1.781903e+003, 6.670736e-003
1.783832e+003, 6.604868e-003
1.785760e+003, 6.806517e-003
1.787689e+003, 7.133804e-003
1.789617e+003, 7.179443e-003
1.791546e+003, 6.877736e-003
1.793474e+003, 6.431968e-003
1.795402e+003, 6.739993e-003
1.797331e+003, 6.750236e-003
1.799259e+003, 6.449231e-003
1.801188e+003, 5.897435e-003
1.803116e+003, 6.037938e-003
1.805045e+003, 6.248682e-003
1.806973e+003, 6.731434e-003
1.808902e+003, 6.883234e-003
1.810830e+003, 6.662354e-003
1.812759e+003, 6.259584e-003
1.814687e+003, 6.044147e-003
1.816616e+003, 5.951041e-003
1.818544e+003, 6.070898e-003
1.820473e+003, 6.362956e-003
1.822401e+003, 6.790551e-003
1.824329e+003, 6.310933e-003
1.826258e+003, 6.235875e-003
1.828186e+003, 6.467351e-003
1.830115e+003, 6.981451e-003
1.832043e+003, 7.301369e-003
1.833972e+003, 6.866518e-003
