##NAMES=Margarosanite
##RRUFFID=R120111
##IDEAL CHEMISTRY=Ca_2_Pb^2+^Si_3_O_9_
##LOCALITY=Parker shaft, Franklin, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Caltech  
##DESCRIPTION=Pearly, colorless cleavages
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120111
1.693194e+003, 1.542069e-002
1.695122e+003, 1.393876e-002
1.697051e+003, 1.411440e-002
1.698979e+003, 1.398028e-002
1.700908e+003, 1.404687e-002
1.702836e+003, 1.535721e-002
1.704765e+003, 1.522272e-002
1.706693e+003, 1.493383e-002
1.708621e+003, 1.516788e-002
1.710550e+003, 1.570431e-002
1.712478e+003, 1.577660e-002
1.714407e+003, 1.529108e-002
1.716335e+003, 1.401316e-002
1.718264e+003, 1.386765e-002
1.720192e+003, 1.487157e-002
1.722121e+003, 1.516822e-002
1.724049e+003, 1.537947e-002
1.725978e+003, 1.555664e-002
1.727906e+003, 1.535292e-002
1.729835e+003, 1.497364e-002
1.731763e+003, 1.426531e-002
1.733692e+003, 1.382282e-002
1.735620e+003, 1.523976e-002
1.737548e+003, 1.596652e-002
1.739477e+003, 1.521793e-002
1.741405e+003, 1.532418e-002
1.743334e+003, 1.577140e-002
1.745262e+003, 1.556516e-002
1.747191e+003, 1.502408e-002
1.749119e+003, 1.492150e-002
1.751048e+003, 1.496286e-002
1.752976e+003, 1.518883e-002
1.754905e+003, 1.538577e-002
1.756833e+003, 1.542145e-002
1.758762e+003, 1.565397e-002
1.760690e+003, 1.570656e-002
1.762619e+003, 1.596930e-002
1.764547e+003, 1.607925e-002
1.766475e+003, 1.528012e-002
1.768404e+003, 1.487898e-002
1.770332e+003, 1.483774e-002
1.772261e+003, 1.432983e-002
1.774189e+003, 1.535536e-002
1.776118e+003, 1.636464e-002
1.778046e+003, 1.622958e-002
1.779975e+003, 1.619592e-002
1.781903e+003, 1.617362e-002
1.783832e+003, 1.549375e-002
1.785760e+003, 1.534584e-002
1.787689e+003, 1.559602e-002
1.789617e+003, 1.550558e-002
1.791546e+003, 1.528034e-002
1.793474e+003, 1.519280e-002
1.795402e+003, 1.529977e-002
1.797331e+003, 1.505382e-002
1.799259e+003, 1.487873e-002
1.801188e+003, 1.508959e-002
1.803116e+003, 1.527503e-002
1.805045e+003, 1.520020e-002
1.806973e+003, 1.554303e-002
1.808902e+003, 1.504784e-002
1.810830e+003, 1.460550e-002
1.812759e+003, 1.473414e-002
1.814687e+003, 1.482419e-002
1.816616e+003, 1.531801e-002
1.818544e+003, 1.578369e-002
1.820473e+003, 1.582670e-002
1.822401e+003, 1.597057e-002
1.824329e+003, 1.565774e-002
1.826258e+003, 1.562670e-002
1.828186e+003, 1.610150e-002
1.830115e+003, 1.582071e-002
1.832043e+003, 1.597641e-002
1.833972e+003, 1.619382e-002
1.835900e+003, 1.585992e-002
1.837829e+003, 1.584416e-002
1.839757e+003, 1.576348e-002
1.841686e+003, 1.564047e-002
1.843614e+003, 1.483265e-002
1.845543e+003, 1.500092e-002
1.847471e+003, 1.561957e-002
1.849400e+003, 1.608813e-002
1.851328e+003, 1.654436e-002
1.853256e+003, 1.629486e-002
1.855185e+003, 1.603900e-002
