##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
1436.708, 1.9841529E-02
1438.636, 2.0065960E-02
1440.565, 2.0011880E-02
1442.493, 2.0449340E-02
1444.422, 2.0986149E-02
1446.350, 2.1254251E-02
1448.278, 2.1601850E-02
1450.207, 2.1859759E-02
1452.135, 2.2150110E-02
1454.064, 2.2575310E-02
1455.992, 2.3341021E-02
1457.921, 2.3328081E-02
1459.849, 2.3208391E-02
1461.778, 2.3641100E-02
1463.706, 2.3944881E-02
1465.635, 2.3861671E-02
1467.563, 2.3836421E-02
1469.492, 2.4197390E-02
1471.420, 2.4503410E-02
1473.349, 2.4858020E-02
1475.277, 2.4874501E-02
1477.205, 2.4899540E-02
1479.134, 2.5353430E-02
1481.062, 2.5679110E-02
1482.991, 2.6031530E-02
1484.919, 2.6226420E-02
1486.848, 2.6126580E-02
1488.776, 2.6213059E-02
1490.705, 2.6351901E-02
1492.633, 2.6106190E-02
1494.562, 2.5761461E-02
1496.490, 2.5850730E-02
1498.419, 2.6162310E-02
1500.347, 2.6358450E-02
1502.276, 2.6087940E-02
1504.204, 2.5588389E-02
1506.132, 2.5976069E-02
1508.061, 2.5983021E-02
1509.989, 2.5349891E-02
1511.918, 2.5053110E-02
1513.846, 2.4984080E-02
1515.775, 2.4925711E-02
1517.703, 2.4927810E-02
1519.632, 2.4782971E-02
1521.560, 2.4774279E-02
1523.489, 2.4778791E-02
1525.417, 2.4726469E-02
1527.346, 2.4522159E-02
1529.274, 2.4127631E-02
1531.203, 2.3655070E-02
1533.131, 2.3524649E-02
1535.059, 2.3296099E-02
1536.988, 2.3296051E-02
1538.916, 2.3413779E-02
1540.845, 2.3546970E-02
1542.773, 2.3498449E-02
1544.702, 2.3383601E-02
1546.630, 2.3230281E-02
1548.559, 2.3390399E-02
1550.487, 2.3627119E-02
